Point_ID,Year,Track,Session,Driver,Lap_Time,Time,Distance,X,Y,Speed,Throttle,Brake,nGear,RPM,DRS,X_norm,Y_norm
2018_Monza_Q_RAI_57,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:07.345000,689.6688888888888,-81.35937882839761,544.0157499934245,346.0,100.0,False,8,12342.0,12,0.054613329525168015,0.5179882702828352
2018_Monza_Q_RAI_58,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:07.585000,712.6688888888888,-79.62245392895979,565.2659814017062,345.0,100.0,False,8,12326.0,12,0.05599512166380815,0.5277760955348718
2018_Monza_Q_RAI_59,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:07.624000,716.4070032799165,-79.3,569.1,345.0,99.83749973333333,False,8,12323.724996266666,12,0.05625164645901057,0.5295420388477776
2018_Monza_Q_RAI_60,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:07.825000,735.6688888888888,-77.42830815591775,591.0883005315512,345.0,99.0,False,8,12312.0,12,0.057740651007766125,0.5396698176496691
2018_Monza_Q_RAI_61,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:07.924000,745.1323604486394,-76.4,603.0,344.58749973333335,99.0,False,8,12303.749994666667,12,0.05855871062934594,0.5451563288603902
2018_Monza_Q_RAI_62,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.065000,758.602222222222,-74.83105773506963,620.9820944784343,344.0,99.0,False,8,12292.0,12,0.05980686596891343,0.553438855061584
2018_Monza_Q_RAI_63,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.224000,773.810214669098,-73.0,641.9,343.33749973333335,93.69999786666666,False,8,12288.687498666666,12,0.06126354448422192,0.5630736115002316
2018_Monza_Q_RAI_64,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.305000,781.4688888888887,-72.0807871035487,652.4565531605078,343.0,91.0,True,8,12287.0,12,0.06199481453191606,0.5679359443197517
2018_Monza_Q_RAI_65,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.524000,801.5563491544688,-69.8,678.7,330.22499626666666,7.962475733333335,True,8,11696.612327466666,12,0.06380927046528166,0.580023637236637
2018_Monza_Q_RAI_66,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.545000,803.4022222222221,-69.61705301449369,680.7917131825667,329.0,0.0,True,8,11640.0,8,0.06395481199470665,0.5809870772441827
2018_Monza_Q_RAI_67,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.785000,823.2022222222222,-67.93384942187319,699.9134643639424,297.0,0.0,True,8,9960.0,8,0.06529386671881511,0.5897945276422658
2018_Monza_Q_RAI_68,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:08.823000,826.0764540213372,-67.7,702.6,290.48569234285713,0.0,True,8,9891.871199085714,8,0.06547990314035211,0.5910319419947916
2018_Monza_Q_RAI_69,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.065000,842.5688888888889,-66.27448994811627,719.257070728402,249.0,0.0,True,8,9458.0,8,0.06661395250764655,0.5987041642105398
2018_Monza_Q_RAI_70,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.123000,846.0394408730771,-65.9,723.6,237.4000256,0.0,True,8,9366.408535466666,8,0.06691187400469821,0.6007045110291532
2018_Monza_Q_RAI_71,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.305000,855.9688888888888,-64.5840863300908,738.6412939805297,201.0,0.0,True,7,9079.0,8,0.06795873513542307,0.607632508857382
2018_Monza_Q_RAI_72,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.423000,862.011659995331,-63.8,747.4,189.6916544,0.0,True,7,9021.9666048,8,0.06858250667976867,0.6116667559347632
2018_Monza_Q_RAI_73,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.545000,867.8355555555555,-63.15709551848629,754.3424691007415,178.0,0.0,True,6,8963.0,8,0.06909396250537155,0.6148644469655177
2018_Monza_Q_RAI_74,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.723000,875.3239284980388,-62.4,762.4,158.29287131428572,0.0,True,6,8761.478716342857,8,0.06969626179648229,0.6185757338164501
2018_Monza_Q_RAI_75,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:09.825000,879.2688888888888,-61.97356943245084,767.1827080902406,147.0,0.0,True,6,8646.0,8,0.0700355041011473,0.6207786421104526
2018_Monza_Q_RAI_76,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:10.023000,886.4524640321075,-61.2,776.3,132.1499904,0.0,True,6,8745.825064533334,8,0.0706509090393797,0.6249780533201467
2018_Monza_Q_RAI_77,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:10.065000,887.8688888888888,-61.056394555798796,778.0555802590559,129.0,0.0,True,4,8767.0,8,0.07076515282385615,0.6257866709987696
2018_Monza_Q_RAI_78,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:10.305000,895.2688888888888,-60.34964041809633,786.7482521550307,111.0,0.0,True,3,7968.0,8,0.07132740356465947,0.6297905028562397
2018_Monza_Q_RAI_79,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:10.323000,895.7975460932646,-60.3,787.3,110.40000426666667,0.0,True,3,7944.8251648,8,0.07136689447155276,0.6300446371000504
2018_Monza_Q_RAI_80,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:10.545000,902.1355555555555,-59.7065628168956,793.1350668069356,103.0,0.0,False,3,7659.0,8,0.07183899711378894,0.6327322602672028
